ID,Timestamp,Occupancy,Capacity
0,2016-10-04 07:59:00,61,577
1,2016-10-04 08:25:00,64,577
2,2016-10-04 08:59:00,80,577
3,2016-10-04 09:32:00,107,577
4,2016-10-04 09:59:00,150,577
5,2016-10-04 10:26:00,177,577
6,2016-10-04 10:59:00,219,577
7,2016-10-04 11:25:00,247,577
8,2016-10-04 11:59:00,259,577
9,2016-10-04 12:29:00,266,577
10,2016-10-04 13:02:00,269,577
11,2016-10-04 13:29:00,263,577
12,2016-10-04 14:02:00,238,577
13,2016-10-04 14:29:00,215,577
14,2016-10-04 14:57:00,192,577
15,2016-10-04 15:30:00,165,577
16,2016-10-04 16:04:00,162,577
17,2016-10-04 16:31:00,143,577
18,2016-10-05 07:57:00,54,577
19,2016-10-05 08:30:00,59,577
20,2016-10-05 09:04:00,71,577
21,2016-10-05 09:30:00,83,577
22,2016-10-05 10:04:00,114,577
23,2016-10-05 10:30:00,128,577
24,2016-10-05 11:04:00,148,577
25,2016-10-05 11:30:00,162,577
26,2016-10-05 12:04:00,178,577
27,2016-10-05 12:30:00,183,577
28,2016-10-05 12:57:00,175,577
29,2016-10-05 13:30:00,179,577
30,2016-10-05 13:57:00,174,577
31,2016-10-05 14:30:00,158,577
32,2016-10-05 14:57:00,145,577
33,2016-10-05 15:30:00,129,577
34,2016-10-05 16:04:00,121,577
35,2016-10-05 16:30:00,114,577
36,2016-10-06 07:57:00,58,577
37,2016-10-06 08:30:00,63,577
38,2016-10-06 08:57:00,70,577
39,2016-10-06 09:30:00,95,577
40,2016-10-06 10:03:00,135,577
41,2016-10-06 10:30:00,160,577
42,2016-10-06 10:57:00,177,577
43,2016-10-06 11:30:00,191,577
44,2016-10-06 12:04:00,199,577
45,2016-10-06 12:30:00,206,577
46,2016-10-06 12:57:00,198,577
47,2016-10-06 13:30:00,208,577
48,2016-10-06 13:57:00,200,577
49,2016-10-06 14:30:00,175,577
50,2016-10-06 15:04:00,158,577
51,2016-10-06 15:31:00,153,577
52,2016-10-06 16:04:00,135,577
53,2016-10-06 16:30:00,129,577
54,2016-10-07 08:03:00,58,577
55,2016-10-07 08:30:00,61,577
56,2016-10-07 09:04:00,75,577
57,2016-10-07 09:30:00,103,577
58,2016-10-07 09:57:00,128,577
59,2016-10-07 10:30:00,172,577
60,2016-10-07 10:57:00,188,577
61,2016-10-07 11:30:00,199,577
62,2016-10-07 12:03:00,210,577
63,2016-10-07 12:30:00,206,577
64,2016-10-07 13:04:00,200,577
65,2016-10-07 13:30:00,201,577
66,2016-10-07 14:03:00,193,577
67,2016-10-07 14:30:00,181,577
68,2016-10-07 15:04:00,172,577
69,2016-10-07 15:30:00,159,577
70,2016-10-07 15:57:00,158,577
71,2016-10-07 16:30:00,132,577
72,2016-10-08 07:57:00,58,577
73,2016-10-08 08:30:00,61,577
74,2016-10-08 08:57:00,75,577
75,2016-10-08 09:30:00,104,577
76,2016-10-08 10:04:00,158,577
77,2016-10-08 10:30:00,191,577
78,2016-10-08 10:57:00,223,577
79,2016-10-08 11:30:00,254,577
80,2016-10-08 12:04:00,306,577
81,2016-10-08 12:30:00,320,577
82,2016-10-08 13:04:00,348,577
83,2016-10-08 13:30:00,357,577
84,2016-10-08 14:03:00,395,577
85,2016-10-08 14:30:00,400,577
86,2016-10-08 14:57:00,395,577
87,2016-10-08 15:30:00,406,577
88,2016-10-08 16:04:00,381,577
89,2016-10-08 16:30:00,365,577
90,2016-10-09 08:04:00,42,577
91,2016-10-09 08:30:00,42,577
92,2016-10-09 09:04:00,43,577
93,2016-10-09 09:30:00,43,577
94,2016-10-09 09:57:00,50,577
95,2016-10-09 10:30:00,64,577
96,2016-10-09 11:04:00,100,577
97,2016-10-09 11:30:00,126,577
98,2016-10-09 11:57:00,148,577
99,2016-10-09 12:30:00,170,577
100,2016-10-09 13:04:00,189,577
101,2016-10-09 13:30:00,205,577
102,2016-10-09 14:03:00,208,577
103,2016-10-09 14:30:00,209,577
104,2016-10-09 15:04:00,191,577
105,2016-10-09 15:30:00,180,577
106,2016-10-09 16:03:00,155,577
107,2016-10-09 16:30:00,133,577
108,2016-10-10 08:04:00,54,577
109,2016-10-10 08:30:00,56,577
110,2016-10-10 09:04:00,65,577
111,2016-10-10 09:30:00,73,577
112,2016-10-10 10:03:00,92,577
113,2016-10-10 10:30:00,113,577
